,Error,Method,iSimul
0,0.004349106558033598,Ano,0
1,0.0013250709149525064,PCA,0
2,0.0012666300457492752,Linear,0
3,0.0012625867597692998,BF,0
4,0.0012618624332262703,Clean,0
5,0.003890487943356229,Ano,1
6,0.0016029308571355093,PCA,1
7,0.001617264230946836,Linear,1
8,0.0016097111971700405,BF,1
9,0.0015949070296229183,Clean,1
10,0.004368921288233692,Ano,2
11,0.0016071013034692936,PCA,2
12,0.0015655947129392862,Linear,2
13,0.0015714579643383037,BF,2
14,0.0015653320538193281,Clean,2
15,0.0046263633922558065,Ano,3
16,0.0017041710309692376,PCA,3
17,0.0016681857080856673,Linear,3
18,0.0016880320831699316,BF,3
19,0.0016563304825238533,Clean,3
20,0.004652763944278919,Ano,4
21,0.0016155708493399358,PCA,4
22,0.0016058493048431337,Linear,4
23,0.0016041833092389048,BF,4
24,0.0016002256654724042,Clean,4
25,0.004564485204941943,Ano,5
26,0.0017111249976739754,PCA,5
27,0.0015971081584641392,Linear,5
28,0.0015877914052258655,BF,5
29,0.0015908765106975391,Clean,5
30,0.004459623404281959,Ano,6
31,0.00182289165874104,PCA,6
32,0.0017997511788753902,Linear,6
33,0.0017993507637018833,BF,6
34,0.001814982974953095,Clean,6
35,0.0044044568249493226,Ano,7
36,0.0015723504422497357,PCA,7
37,0.0015268454190826663,Linear,7
38,0.0015219836733875141,BF,7
39,0.0015596139983886839,Clean,7
40,0.003736738470727986,Ano,8
41,0.0016533315842837796,PCA,8
42,0.0016541921799703653,Linear,8
43,0.0016546031437149325,BF,8
44,0.0016513301222751326,Clean,8
45,0.004014459580395899,Ano,9
46,0.0016590845687046655,PCA,9
47,0.0016961092479658869,Linear,9
48,0.0016971932291097718,BF,9
49,0.0017171280798583854,Clean,9
50,0.004473453547549801,Ano,10
51,0.0015759887200014597,PCA,10
52,0.0015389616056788985,Linear,10
53,0.0015536234593171402,BF,10
54,0.0015446754719319,Clean,10
55,0.004208962092615854,Ano,11
56,0.0015895650488746518,PCA,11
57,0.0015392147201992229,Linear,11
58,0.0015408711941723812,BF,11
59,0.0015161058802586657,Clean,11
60,0.004186116502355072,Ano,12
61,0.0015288293752283148,PCA,12
62,0.001527258247068959,Linear,12
63,0.0014948426599692103,BF,12
64,0.0015373045621802609,Clean,12
65,0.004307982648537858,Ano,13
66,0.0019582013830236364,PCA,13
67,0.0019419169488811498,Linear,13
68,0.0019396274680478266,BF,13
69,0.0019481917909594398,Clean,13
70,0.004323357020262173,Ano,14
71,0.0016160272204655288,PCA,14
72,0.0016177303087000336,Linear,14
73,0.0016376577411245572,BF,14
74,0.0015895832087418622,Clean,14
75,0.0041689400733736495,Ano,15
76,0.0016106790899965081,PCA,15
77,0.0015683632463870218,Linear,15
78,0.0015829248922847089,BF,15
79,0.001540012481042473,Clean,15
80,0.004611650448074675,Ano,16
81,0.0018143281024604445,PCA,16
82,0.0017083929460812285,Linear,16
83,0.0016838509021826612,BF,16
84,0.0017046884519712883,Clean,16
85,0.004369787869413973,Ano,17
86,0.001550359584251193,PCA,17
87,0.0014930744573903097,Linear,17
88,0.0015020759166313844,BF,17
89,0.0015002393548604993,Clean,17
90,0.004152628226668126,Ano,18
91,0.0015848741262778682,PCA,18
92,0.0015431757028704991,Linear,18
93,0.001565870997959346,BF,18
94,0.00153044118345438,Clean,18
95,0.004255954889712734,Ano,19
96,0.0016297271184097081,PCA,19
97,0.001592768672219141,Linear,19
98,0.0016202022240044472,BF,19
99,0.001596907451171332,Clean,19
100,0.004123481874839891,Ano,20
101,0.001740929633363072,PCA,20
102,0.0016899243075574576,Linear,20
103,0.0016658163900604697,BF,20
104,0.0017418028216141686,Clean,20
105,0.004171055280082844,Ano,21
106,0.0013017976415010974,PCA,21
107,0.0012419927944857785,Linear,21
108,0.0012243531615056464,BF,21
109,0.0012368487422084395,Clean,21
110,0.004329943072921906,Ano,22
111,0.0013087582464276423,PCA,22
112,0.0012683638756377901,Linear,22
113,0.0012381176108595296,BF,22
114,0.0012776915776839854,Clean,22
115,0.004063713973260202,Ano,23
116,0.0018025134235367059,PCA,23
117,0.00178910728953629,Linear,23
118,0.0017889756818142695,BF,23
119,0.0018109487184330985,Clean,23
120,0.00425685078583782,Ano,24
121,0.0016836272180661815,PCA,24
122,0.0016887052629513785,Linear,24
123,0.001695407318360965,BF,24
124,0.001700961489982174,Clean,24
125,0.0034113378992985423,Ano,25
126,0.0015155855432035642,PCA,25
127,0.001505658261970456,Linear,25
128,0.0014774379366471256,BF,25
129,0.0014669809565634364,Clean,25
130,0.004298269037631127,Ano,26
131,0.0015021073415562795,PCA,26
132,0.0014647878824100497,Linear,26
133,0.0014589889461993212,BF,26
134,0.001459256863668551,Clean,26
135,0.004696024811858232,Ano,27
136,0.0016880440768815704,PCA,27
137,0.0015859420058175167,Linear,27
138,0.0015828589953767048,BF,27
139,0.0015968414599374287,Clean,27
140,0.0040352085936829095,Ano,28
141,0.0012365140054102516,PCA,28
142,0.0012599535087795977,Linear,28
143,0.0012791857776992975,BF,28
144,0.0012763370512125735,Clean,28
145,0.004116607570018983,Ano,29
146,0.001736096401682873,PCA,29
