,Error,Stock,Method,iSimul
0,0.24257761747020848,S0,BF,0
1,0.033156014425657854,S1,BF,0
2,0.10708747661731766,S2,BF,0
3,0.19871026020313465,S3,BF,0
4,0.0671250839634788,S4,BF,0
5,0.13598459386754144,S5,BF,0
6,0.059005154073798145,S6,BF,0
7,0.08122905848657805,S7,BF,0
8,0.10833296355884188,S8,BF,0
9,0.10334345115032023,S9,BF,0
10,0.0816120683339099,S10,BF,0
11,0.19138332495846397,S11,BF,0
12,0.2088112196185803,S12,BF,0
13,0.025486570000007144,S13,BF,0
14,0.04562470837898917,S14,BF,0
15,0.2000629442881774,S15,BF,0
16,0.25090094537880553,S16,BF,0
17,0.04788505724843492,S17,BF,0
18,0.17106684402300854,S18,BF,0
19,0.042003306704563426,S19,BF,0
20,0.3184388328281296,S0,PCA,0
21,0.10688703099741691,S1,PCA,0
22,0.2961435172648586,S2,PCA,0
23,0.4229271200691774,S3,PCA,0
24,0.3616313446991485,S4,PCA,0
25,0.2481711820476082,S5,PCA,0
26,0.3015226547348,S6,PCA,0
27,0.3059746506104661,S7,PCA,0
28,0.26983886370968835,S8,PCA,0
29,0.42278569617017336,S9,PCA,0
30,0.15841211818708165,S10,PCA,0
31,0.3596769542793293,S11,PCA,0
32,0.19380769145938406,S12,PCA,0
33,0.2566882187584957,S13,PCA,0
34,0.3155368326236672,S14,PCA,0
35,0.06287562194054436,S15,PCA,0
36,0.2930017728841402,S16,PCA,0
37,0.28617848651008576,S17,PCA,0
38,0.579070258525643,S18,PCA,0
39,0.3453481678090713,S19,PCA,0
40,0.22528189724118555,S0,Linear,0
41,0.02492264279164238,S1,Linear,0
42,0.0440659728463062,S2,Linear,0
43,0.1631521334264946,S3,Linear,0
44,0.10303044736750949,S4,Linear,0
45,0.13753663453053158,S5,Linear,0
46,0.05074671306570813,S6,Linear,0
47,0.06433685959301,S7,Linear,0
48,0.04242487211894121,S8,Linear,0
49,0.08234678503823059,S9,Linear,0
50,0.035618822220107635,S10,Linear,0
51,0.10321908596124313,S11,Linear,0
52,0.13099338137040287,S12,Linear,0
53,0.010486935403593528,S13,Linear,0
54,0.0431850896272969,S14,Linear,0
55,0.11177708902751234,S15,Linear,0
56,0.1172959687205506,S16,Linear,0
57,0.042314615496080496,S17,Linear,0
58,0.05574625638976019,S18,Linear,0
59,0.016732292505811135,S19,Linear,0
60,2.1039457339000673,S0,Ano,0
61,1.0213359085926725,S1,Ano,0
62,2.4384001963927133,S2,Ano,0
63,2.0182374650325494,S3,Ano,0
64,2.7929959409977814,S4,Ano,0
65,2.303420446582947,S5,Ano,0
66,2.694098419100765,S6,Ano,0
67,2.6532916117973886,S7,Ano,0
68,2.5927107673571204,S8,Ano,0
69,3.0556901665368246,S9,Ano,0
70,2.6374833623875045,S10,Ano,0
71,2.9798596809082194,S11,Ano,0
72,2.1333076535178814,S12,Ano,0
73,2.66673550623059,S13,Ano,0
74,2.9422382587517593,S14,Ano,0
75,1.8466354445136055,S15,Ano,0
76,2.650938196819395,S16,Ano,0
77,2.8489189370855073,S17,Ano,0
78,2.4616021972597113,S18,Ano,0
79,3.319405708770983,S19,Ano,0
80,0.2158797436869072,S0,BF,1
81,0.043789234599726494,S1,BF,1
82,0.15824828865515078,S2,BF,1
83,0.7170979221822369,S3,BF,1
84,0.11082245351371492,S4,BF,1
85,0.19545453587661546,S5,BF,1
86,0.12442968586328412,S6,BF,1
87,0.06356973871065164,S7,BF,1
88,0.10291894849232042,S8,BF,1
89,0.07755064243824496,S9,BF,1
90,0.07086653633882947,S10,BF,1
91,0.15961792895340024,S11,BF,1
92,0.12939891280604593,S12,BF,1
93,0.05442618673191795,S13,BF,1
94,0.0459705114811048,S14,BF,1
95,0.09723684307355095,S15,BF,1
96,0.3876734190877291,S16,BF,1
97,0.06310023727143449,S17,BF,1
98,0.1245454466526541,S18,BF,1
99,0.028014483707476123,S19,BF,1
100,0.29045642102198577,S0,PCA,1
101,0.20047919646949733,S1,PCA,1
102,0.2923747767040114,S2,PCA,1
103,0.4901085564326461,S3,PCA,1
104,0.3235988628273852,S4,PCA,1
105,0.15369861546699523,S5,PCA,1
106,0.26614860866633483,S6,PCA,1
107,0.2233871228099766,S7,PCA,1
108,0.23520148729331858,S8,PCA,1
109,0.2667185644979634,S9,PCA,1
110,0.3215758391484823,S10,PCA,1
111,0.270885931174572,S11,PCA,1
112,0.27142122779247163,S12,PCA,1
113,0.261151205491387,S13,PCA,1
114,0.29657568916259924,S14,PCA,1
115,0.3134619826173358,S15,PCA,1
116,0.3768857067530651,S16,PCA,1
117,0.3925833339707689,S17,PCA,1
118,0.21643589163599977,S18,PCA,1
119,0.20860631343030472,S19,PCA,1
120,0.09718953069942378,S0,Linear,1
121,0.04085592914385677,S1,Linear,1
122,0.07167432332269416,S2,Linear,1
123,0.371366724760513,S3,Linear,1
124,0.12540346570753858,S4,Linear,1
125,0.16747415158546666,S5,Linear,1
126,0.10350617385446899,S6,Linear,1
127,0.030707592915904434,S7,Linear,1
128,0.06095387737535241,S8,Linear,1
129,0.03756701402339618,S9,Linear,1
130,0.04816332538602407,S10,Linear,1
131,0.15887426189114037,S11,Linear,1
132,0.10618638924056,S12,Linear,1
133,0.029495594868853923,S13,Linear,1
134,0.04318533399330112,S14,Linear,1
135,0.09882174845452413,S15,Linear,1
136,0.19707688270206816,S16,Linear,1
137,0.03900959727817795,S17,Linear,1
138,0.11259463253943586,S18,Linear,1
139,0.018381251511354318,S19,Linear,1
140,2.104682402223473,S0,Ano,1
141,2.121650748656573,S1,Ano,1
142,1.545713651297783,S2,Ano,1
143,2.9317693200643813,S3,Ano,1
144,2.8526260613313723,S4,Ano,1
145,2.0046597116183875,S5,Ano,1
146,2.16085604912184,S6,Ano,1
147,2.773630448598141,S7,Ano,1
148,2.9163697155475807,S8,Ano,1
149,1.511861778037411,S9,Ano,1
150,3.1804045152400535,S10,Ano,1
151,2.423844204449225,S11,Ano,1
152,1.8527400585732055,S12,Ano,1
153,2.3074721144408117,S13,Ano,1
154,2.8508500702833786,S14,Ano,1
155,1.9723669759327451,S15,Ano,1
156,2.582823149833834,S16,Ano,1
157,2.761319381872043,S17,Ano,1
