,AlgName,Acc,Recall,Precision,F1,Set
0,IF,0.4398744631648497,0.4398744631648497,0.4398744631648497,0.4398744631648497,Train
1,IF,0.7484053862508859,0.225531914893617,0.2345132743362832,0.2299349240780911,Test
2,LOF,0.5434423521638586,0.5434423521638586,0.5434423521638586,0.5434423521638586,Train
3,LOF,0.874202693125443,0.42340425531914894,0.7031802120141343,0.5285524568393094,Test
4,KNN,0.97001982160555,0.9400396432111001,1.0,0.9690932311621967,Train
5,KNN,0.6208362863217576,0.4021276595744681,0.19325153374233128,0.2610497237569061,Test
6,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
7,DBSCAN,0.16654854712969525,1.0,0.16654854712969525,0.28554070473876064,Test
8,SVM,0.9264948794185662,0.9273207796498183,0.9257915567282322,0.9265555372173625,Train
9,SVM,0.39546420978029767,0.674468085106383,0.1695187165775401,0.2709401709401709,Test
10,IF,0.43581983265088126,0.43581983265088126,0.43581983265088126,0.43581983265088126,Train
11,IF,0.7950907150480256,0.36538461538461536,0.38,0.37254901960784315,Test
12,LOF,0.5809150792237849,0.5809150792237849,0.5809150792237849,0.5809150792237849,Train
13,LOF,0.8690857346140164,0.405982905982906,0.6785714285714286,0.5080213903743315,Test
14,KNN,0.9652839594089372,0.9305679188178743,1.0,0.9640354112873478,Train
15,KNN,0.4646033440056919,0.49572649572649574,0.15456362425049966,0.2356526155408837,Test
16,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
17,DBSCAN,0.1664887940234792,1.0,0.1664887940234792,0.28545288197621227,Test
18,SVM,0.924247819120527,0.9286095780665836,0.92057889163431,0.9245767969511656,Train
19,SVM,0.3646389185343294,0.6517094017094017,0.15819502074688796,0.25459098497495825,Test
20,IF,0.4930091185410334,0.4930091185410334,0.4930091185410334,0.4930091185410334,Train
21,IF,0.715195246179966,0.125,0.129973474801061,0.1274382314694408,Test
22,LOF,0.5425531914893617,0.5425531914893617,0.5425531914893617,0.5425531914893617,Train
23,LOF,0.8709677419354839,0.413265306122449,0.6864406779661016,0.5159235668789809,Test
24,KNN,0.9639057750759878,0.9279635258358663,0.9998362534796136,0.9625601008906755,Train
25,KNN,0.5012733446519525,0.4642857142857143,0.15867480383609417,0.23651721897335928,Test
26,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
27,DBSCAN,0.166383701188455,1.0,0.166383701188455,0.2852983988355167,Test
28,SVM,0.9253799392097265,0.9247720364741642,0.9258977480219112,0.9253345498783455,Train
29,SVM,0.34974533106960953,0.7270408163265306,0.16666666666666666,0.27117031398667935,Test
30,IF,0.48481711525189786,0.48481711525189786,0.48481711525189786,0.48481711525189786,Train
31,IF,0.7415458937198067,0.20579710144927535,0.21385542168674698,0.20974889217134418,Test
32,LOF,0.5810041407867494,0.5809178743961353,0.5810181190681623,0.5809679924079028,Train
33,LOF,0.881159420289855,0.4434782608695652,0.7391304347826086,0.5543478260869565,Test
34,KNN,0.9702380952380952,0.9404761904761905,1.0,0.9693251533742331,Train
35,KNN,0.5594202898550724,0.4811594202898551,0.1846496106785317,0.2668810289389067,Test
36,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
37,DBSCAN,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,Test
38,SVM,0.927536231884058,0.9208074534161491,0.9333683105981112,0.9270453361125586,Train
39,SVM,0.49468599033816424,0.5797101449275363,0.18165304268846502,0.2766251728907331,Test
40,IF,0.5065241314258765,0.5065241314258765,0.5065241314258765,0.5065241314258765,Train
41,IF,0.7350299401197605,0.18562874251497005,0.19314641744548286,0.1893129770992366,Test
42,LOF,0.5294764974060683,0.5294764974060683,0.5294764974060683,0.5294764974060683,Train
43,LOF,0.8707584830339321,0.41317365269461076,0.6865671641791045,0.5158878504672897,Test
44,KNN,0.9747681182204055,0.9495362364408112,1.0,0.9741149907265544,Train
45,KNN,0.4545908183632735,0.5598802395209581,0.1650485436893204,0.2549420586230402,Test
46,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
47,DBSCAN,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,Test
48,SVM,0.9446627888696746,0.9427762930356862,0.946346851822629,0.9445581981414396,Train
49,SVM,0.26397205588822353,0.6706586826347305,0.14096916299559473,0.23296931877275093,Test
50,IF,0.5758637159687948,0.5758637159687948,0.5758637159687948,0.5758637159687948,Train
51,IF,0.7614035087719299,0.26506024096385544,0.275,0.26993865030674846,Test
52,LOF,0.5452953351377169,0.5452953351377169,0.5452953351377169,0.5452953351377169,Train
53,LOF,0.8726817042606516,0.4186746987951807,0.695,0.5225563909774436,Test
54,KNN,0.9562967680305684,0.9125935360611368,1.0,0.9542995088653958,Train
55,KNN,0.7012531328320802,0.4246987951807229,0.25824175824175827,0.3211845102505695,Test
56,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
57,DBSCAN,0.16641604010025063,1.0,0.16641604010025063,0.28534593897722393,Test
58,SVM,0.9016080241999681,0.8498646712306958,0.9479666133901616,0.8962390866353257,Train
59,SVM,0.5388471177944862,0.6987951807228916,0.22053231939163498,0.3352601156069364,Test
60,IF,0.586618681498446,0.586618681498446,0.586618681498446,0.586618681498446,Train
61,IF,0.7454873646209387,0.21691973969631237,0.22522522522522523,0.22099447513812157,Test
62,LOF,0.5470309177163423,0.5470309177163423,0.5470309177163423,0.5470309177163423,Train
63,LOF,0.8620938628158845,0.38611713665943603,0.6425992779783394,0.4823848238482385,Test
64,KNN,0.9751349582856208,0.9502699165712416,1.0,0.9745009226639826,Train
65,KNN,0.35342960288808667,0.6572668112798264,0.1565082644628099,0.2528160200250313,Test
66,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
67,DBSCAN,0.1664259927797834,1.0,0.1664259927797834,0.2853605694831322,Test
68,SVM,0.9303124488794373,0.8910518566988386,0.9669802946919936,0.9274646688234294,Train
69,SVM,0.41913357400722023,0.7049891540130152,0.1807563959955506,0.2877379371403275,Test
70,IF,0.539298473530367,0.539298473530367,0.539298473530367,0.539298473530367,Train
71,IF,0.7189705271897052,0.1371571072319202,0.14248704663212436,0.1397712833545108,Test
72,LOF,0.5706398181227671,0.5706398181227671,0.5706398181227671,0.5706398181227671,Train
73,LOF,0.8733914487339145,0.41895261845386533,0.7,0.5241809672386896,Test
74,KNN,0.9534751542708672,0.9069503085417343,1.0,0.9512049731755088,Train
75,KNN,0.33623910336239105,0.5112219451371571,0.12748756218905472,0.2040816326530612,Test
76,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
77,DBSCAN,0.16645911166459113,1.0,0.16645911166459113,0.28540925266903916,Test
78,SVM,0.9122279961026307,0.8947710295550504,0.9271411744909979,0.9106685397901,Train
79,SVM,0.3125778331257783,0.6059850374064838,0.13957495692130958,0.22689075630252098,Test
80,IF,0.4887447539107211,0.4887447539107211,0.4887447539107211,0.4887447539107211,Train
81,IF,0.7661252900232018,0.2785515320334262,0.2898550724637681,0.2840909090909091,Test
82,LOF,0.5831743609309424,0.5831743609309424,0.5831743609309424,0.5831743609309424,Train
83,LOF,0.8761020881670534,0.42896935933147634,0.7129629629629629,0.5356521739130434,Test
84,KNN,0.9807325448302174,0.961465089660435,1.0,0.980354016728263,Train
85,KNN,0.4937354988399072,0.28133704735376047,0.10813704496788008,0.15622583139984533,Test
86,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
87,DBSCAN,0.1665893271461717,1.0,0.1665893271461717,0.2856006364359587,Test
88,SVM,0.9263639832125143,0.9286531858069439,0.924420812761109,0.9265321659687857,Train
89,SVM,0.38979118329466356,0.5710306406685237,0.1500732064421669,0.23768115942028983,Test
90,IF,0.5072322444336096,0.5072322444336096,0.5072322444336096,0.5072322444336096,Train
91,IF,0.7356257046223225,0.1864406779661017,0.1936619718309859,0.18998272884283246,Test
92,LOF,0.5569640825613522,0.5569640825613522,0.5569640825613522,0.5569640825613522,Train
93,LOF,0.8923337091319054,0.47796610169491527,0.7921348314606742,0.5961945031712473,Test
94,KNN,0.9734275962944905,0.946855192588981,1.0,0.972702228900576,Train
95,KNN,0.5947012401352875,0.4271186440677966,0.1863905325443787,0.25952626158599384,Test
96,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
97,DBSCAN,0.16629086809470123,1.0,0.16629086809470123,0.2851619139681005,Test
98,SVM,0.9126442385828052,0.9262148545424996,0.901740506329114,0.913813837889842,Train
99,SVM,0.4092446448703495,0.6271186440677966,0.1647373107747106,0.2609308885754584,Test
100,IF,0.47448254068573237,0.47448254068573237,0.47448254068573237,0.47448254068573237,Train
101,IF,0.753370340999207,0.24047619047619048,0.25,0.24514563106796117,Test
102,LOF,0.5451098119766156,0.5451098119766156,0.5451098119766156,0.5451098119766156,Train
103,LOF,0.8691514670896114,0.40714285714285714,0.6785714285714286,0.5089285714285714,Test
104,KNN,0.9679254226576078,0.9358508453152157,1.0,0.9668625530525629,Train
105,KNN,0.5348929421094369,0.6309523809523809,0.20654715510522215,0.31121550205519677,Test
106,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
107,DBSCAN,0.16653449643140364,1.0,0.16653449643140364,0.28552005438477224,Test
108,SVM,0.9115184073313319,0.896824142834571,0.9239785121276249,0.9101988454137266,Train
109,SVM,0.42783505154639173,0.6857142857142857,0.1801125703564728,0.2852897473997028,Test
110,IF,0.5518577214298291,0.5518577214298291,0.5518577214298291,0.5518577214298291,Train
111,IF,0.7388132295719845,0.195906432748538,0.20364741641337386,0.19970193740685546,Test
112,LOF,0.5752773375594294,0.5752773375594294,0.5752773375594294,0.5752773375594294,Train
113,LOF,0.867704280155642,0.40350877192982454,0.6699029126213593,0.5036496350364963,Test
114,KNN,0.9794858249691847,0.9589716499383695,1.0,0.979056179775281,Train
115,KNN,0.5068093385214008,0.4298245614035088,0.15217391304347827,0.2247706422018349,Test
116,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
117,DBSCAN,0.16634241245136186,1.0,0.16634241245136186,0.28523769808173477,Test
118,SVM,0.9074661031871808,0.8799084345835534,0.9312336936265374,0.9048438207333634,Train
119,SVM,0.42266536964980544,0.7660818713450293,0.19138056975894813,0.3062536528345996,Test
120,IF,0.5758452634785257,0.5758452634785257,0.5758452634785257,0.5758452634785257,Train
121,IF,0.7731506849315068,0.2993421052631579,0.3116438356164384,0.3053691275167785,Test
122,LOF,0.5097471824550716,0.5097471824550716,0.5097471824550716,0.5097471824550716,Train
123,LOF,0.8745205479452055,0.4243421052631579,0.7049180327868853,0.5297741273100616,Test
124,KNN,0.9666463600365519,0.9332927200731038,1.0,0.9654955096896172,Train
125,KNN,0.5271232876712328,0.5032894736842105,0.176878612716763,0.2617621899059025,Test
126,DBSCAN,0.5,1.0,0.5,0.6666666666666666,Train
127,DBSCAN,0.16657534246575342,1.0,0.16657534246575342,0.28558008454673556,Test
128,SVM,0.883947608894304,0.8312519037465732,0.9291794347974123,0.877491961414791,Train
129,SVM,0.37205479452054796,0.7598684210526315,0.17714723926380369,0.2873134328358209,Test
130,IF,0.4738544474393531,0.4738544474393531,0.4738544474393531,0.4738544474393531,Train
