,AlgName,Acc,Recall,Precision,F1,Set
0,IF,0.8969971198770587,0.17305868003794553,0.008415322872939827,0.016050174075889545,Train
1,IF,0.5805443352026327,0.5802534318901795,0.006702833914265936,0.013252579821470021,Test
2,LOF,0.9949166948451194,0.0002710394362379726,0.005681818181818182,0.0005173974906221704,Train
3,LOF,0.009152561486964457,1.0,0.0048753240134161505,0.00970334109498157,Test
4,KNN,0.9999967106864535,0.999728960563762,0.9995934959349594,0.9996612236601397,Train
5,KNN,0.990368152879302,0.0,0.0,0.0,Test
6,IF,0.8961075196610218,0.08170969313200195,0.0039731883800523445,0.007577896484352944,Train
7,IF,0.5604117711734609,0.5048722675796682,0.005574700109051254,0.011027635242412388,Test
8,LOF,0.9951143011174743,0.0,0.0,0.0,Train
9,LOF,0.016551135157802148,1.0,0.004911821358208511,0.00977562658496711,Test
10,KNN,0.9999994088688587,1.0,0.9998782418117619,0.9999391171993911,Train
11,KNN,0.9879695518434328,0.018172241243086647,0.011997913406364111,0.014453288646837033,Test
12,IF,0.896699466074036,0.15751968996124516,0.007648462112796605,0.01458856765737707,Train
13,IF,0.534894264033032,0.41618773946360155,0.004351418342054531,0.008612786370191236,Test
14,LOF,0.995109218749431,0.0,0.0,0.0,Train
15,LOF,0.01405976825503106,1.0,0.004899470514596926,0.00975116548143461,Test
16,KNN,1.0,1.0,1.0,1.0,Train
17,KNN,0.9879547483539783,0.0,0.0,0.0,Test
18,IF,0.8967935631511501,0.15026546487220643,0.007308255867022171,0.013938599153605197,Train
19,IF,0.6308799437047137,0.3320498301245753,0.004386227365750326,0.008658085358327206,Test
20,LOF,0.9951126652337517,0.0,0.0,0.0,Train
21,LOF,0.010504788397893325,1.0,0.004881954020065218,0.009716472667331303,Test
22,KNN,1.0,1.0,1.0,1.0,Train
23,KNN,0.9370207478916756,0.022423556058890147,0.0018657419622328598,0.003444856203350906,Test
24,IF,0.8968302296580185,0.1483078531294917,0.007217071712894077,0.013764332793674472,Train
25,IF,0.5006733129167481,0.5680089485458613,0.005514793721953614,0.01092353098083757,Test
26,LOF,0.9951063038925023,0.0,0.0,0.0,Train
27,LOF,0.007494407158836689,1.0,0.004867218575135373,0.009687287007007573,Test
28,KNN,1.0,1.0,1.0,1.0,Train
29,KNN,0.9803077691622684,0.07181208053691275,0.022439706396364906,0.03419440745672437,Test
30,IF,0.8968549122932921,0.17014255543822598,0.00826409191157614,0.0157625709254549,Train
31,IF,0.4292847368752047,0.543444270716998,0.004618994642497788,0.0091601329028736,Test
32,LOF,0.995100778134323,0.0,0.0,0.0,Train
33,LOF,0.007723401809897838,1.0,0.004868336349084836,0.009689500948497607,Test
34,KNN,0.9999993592438051,1.0,0.9998680216444503,0.9999340064673662,Train
35,KNN,0.9138151631532038,0.11011838284565557,0.00648735426481038,0.012252861279218602,Test
36,IF,0.8965047328578198,0.1148936170212766,0.0055909813451243354,0.010663073590307985,Train
37,IF,0.6620771275719539,0.3435134429652832,0.0049569655536094315,0.009772906177130211,Test
38,LOF,0.9951134306232305,0.0,0.0,0.0,Train
39,LOF,0.00973661468905936,0.985121378230227,0.004806302445559774,0.009565933717761866,Test
40,KNN,1.0,1.0,1.0,1.0,Train
41,KNN,0.8931303900474666,0.10258418167580266,0.004834245648563872,0.009233371707821346,Test
42,IF,0.896512192440304,0.1305509606820206,0.00634371039045352,0.012099484651579654,Train
43,IF,0.5319587120179701,0.4649080348499516,0.004825384385447987,0.009551630265889344,Test
44,LOF,0.994993063422432,0.0001272426517368622,0.004016064257028112,0.000246669955599408,Train
45,LOF,0.008297775355031532,1.0,0.004871142254565517,0.009695058500011145,Test
46,KNN,0.9999969115861229,0.9998727573482631,0.9994912236072246,0.9996819540741683,Train
47,KNN,0.9332536020075377,0.04332042594385285,0.0033748114630467573,0.006261806478695866,Test
48,IF,0.8973189882365509,0.204846072808147,0.009962370702660237,0.019000673166706478,Train
49,IF,0.49300994240183194,0.6125150421179302,0.005852148738856198,0.011593529489474716,Test
50,LOF,0.9951126738634595,0.0,0.0,0.0,Train
51,LOF,0.008001822578949214,1.0,0.004869696074708521,0.009692194109805211,Test
52,KNN,1.0,1.0,1.0,1.0,Train
53,KNN,0.9834916406715503,0.0,0.0,0.0,Test
54,IF,0.8975346770763167,0.22526995159488644,0.010957564341731113,0.02089858142962417,Train
55,IF,0.6286110943316051,0.40699420725166274,0.005332726127828004,0.010527513325878425,Test
56,LOF,0.995110083374404,0.0,0.0,0.0,Train
57,LOF,0.010364874407133767,1.0,0.004881267181568268,0.009715112304280401,Test
58,KNN,1.0,1.0,1.0,1.0,Train
59,KNN,0.9884217937315006,0.0,0.0,0.0,Test
60,IF,0.8961623790295409,0.10397757608115323,0.005047821466524973,0.009628219706333117,Train
61,IF,0.6521119750717697,0.4232293214462605,0.005918348264840024,0.011673457399394127,Test
62,LOF,0.9951093464096331,0.0,0.0,0.0,Train
63,LOF,0.007336853291786283,1.0,0.004866449817598519,0.009685764349047315,Test
64,KNN,1.0,1.0,1.0,1.0,Train
65,KNN,0.9891804555749506,0.0,0.0,0.0,Test
66,IF,0.896479862718677,0.13297746144721234,0.006458005680279751,0.012317801475718768,Train
67,IF,0.5400570920554243,0.4608043626448534,0.0048674881552987935,0.009633220359915734,Test
68,LOF,0.9951128079328335,0.0,0.0,0.0,Train
69,LOF,0.010093690092498836,1.0,0.004879936486534436,0.009712476703628221,Test
70,KNN,1.0,1.0,1.0,1.0,Train
71,KNN,0.9289801744087288,0.06862076800727107,0.0049843208450239315,0.009293594497699682,Test
